Altitude_m,Core_number,Location_m,TS_geology_basal,TS_description,von_Post,,Altitude_m_charcoal,Core_number_charcoal,Charcoal,,Altitude_m_other,Core_number_other,other
396.4,3,100,TS,Sh-Sh-Sh-Tb,7,,398.5,7,1,,,,
396.2,3,100,TS,Sh-Sh-Sh-Th,7,,398.46,7,0,,,,
395.5,3,100,TS,Sh-Sh-Tb-Tb,5,,400.6,8,0,,,,
395.3,3,100,TS,Sh-Sh-Sh-Tb,6,,400.4,8,1,,,,
394.9,3,100,TS,Sh-Sh-Sh-Th,8,,400.35,8,0,,,,
394.4,3,100,TS,Sh-Sh-Sh-Ag,8,,399.9,8,1,,,,
394.2,3,100,TS,Sh-Sh-Ag-Ag,9,,399.85,8,0,,,,
394,3,100,TS,Sh-Sh-As-Ag,9,,,,,,,,
393.8,3,100,GEO_metamorphic,0-0-0-0,0,,,,,,,,
393.4,3,100,,0-0-0-0,0,,,,,,,,
400.3,4,150,TS,Sh-Sh-Sh-Tl,7,,,,,,,,
400.2,4,150,TS,Sh-Sh-Sh-Th,8,,,,,,,,
400,4,150,TS,Sh-Th-Tb-Tb,5,,,,,,,,
399.7,4,150,TS,Sh-Sh-Th-Tb,6,,,,,,,,
399.4,4,150,TS,Sh-Sh-Sh-Th,7,,,,,,,,
399,4,150,TS,Sh-Sh-Th-Tb,6,,,,,,,,
398.6,4,150,TS,Sh-Sh-Th-Th,7,,,,,,,,
398.4,4,150,TS,Sh-Sh-Sh-Th,7,,,,,,,,
398.3,4,150,TS,Sh-As-As-Ag,8,,,,,,,,
398.1,4,150,GEO_shale,0-0-0-0,0,,,,,,,,
397.8,4,150,,0-0-0-0,0,,,,,,,,
400,5,200,TS,Sh-Sh-Sh-Tl,7,,,,,,,,
399.8,5,200,TS,Sh-Sh-Sh-Sh,8,,,,,,,,
399.6,5,200,TS,Sh-Th-Tb-Tb,5,,,,,,,,
399,5,200,TS,Sh-Th-Th-Tb,6,,,,,,,,
398.7,5,200,TS,Sh-Sh-Sh-Th,7,,,,,,,,
398.2,5,200,TS,Sh-Sh-Th-Tb,5,,,,,,,,
397.9,5,200,TS,Sh-Sh-Sh-Sh,8,,,,,,,,
397.5,5,200,TS,Sh-Sh-As-Ag,9,,,,,,,,
397.35,5,200,GEO_volcanic,0-0-0-0,0,,,,,,,,
397.05,5,200,,0-0-0-0,0,,,,,,,,
399.4,6,250,TS,Sh-Sh-Th-Tl,7,,,,,,,,
399.3,6,250,TS,Sh-Sh-Sh-Tb,8,,,,,,,,
399.2,6,250,TS,Sh-Th-Tb-Tb,6,,,,,,,,
399,6,250,TS,Sh-Tb-Tb-Tb,4,,,,,,,,
398.3,6,250,TS,Tb-Tb-Tb-Tb,3,,,,,,,,
397.8,6,250,TS,Th-Tb-Tb-Tb,4,,,,,,,,
397.3,6,250,TS,Th-Th-Th-Th,4,,,,,,,,
397,6,250,TS,Sh-Sh-As-Ag,8,,,,,,,,
396.8,6,250,TS,Sh-Sh-Ag-Ag,9,,,,,,,,
396.6,6,250,GEO_marl,0-0-0-0,0,,,,,,,,
396.3,6,250,,0-0-0-0,0,,,,,,,,
400.4,7,300,TS,Sh-Th-Th-Tl,6,,,,,,,,
400.3,7,300,TS,Sh-Sh-Sh-Th,8,,,,,,,,
400,7,300,TS,Sh-Th-Tb-Tb,6,,,,,,,,
399.7,7,300,TS,Sh-Sh-Th-Tb,6,,,,,,,,
399.5,7,300,TS,Sh-Sh-Th-Th,7,,,,,,,,
399.2,7,300,TS,Sh-Sh-Sh-Th,7,,,,,,,,
399,7,300,TS,Sh-Sh-Sh-Sh,8,,,,,,,,
398.7,7,300,TS,Sh-Sh-Sh-Ag,9,,,,,,,,
398.5,7,300,TS,Sh-Sh-Ag-Ag,9,,,,,,,,
398.4,7,300,GEO_till,0-0-0-0,0,,,,,,,,
398.1,7,300,,0-0-0-0,0,,,,,,,,
400.6,8,350,TS,Sh-Sh-Th-Tl,6,,,,,,,,
400.4,8,350,TS,Sh-Sh-Sh-Tb,7,,,,,,,,
400.2,8,350,TS,Sh-Th-Tb-Tb,5,,,,,,,,
399.9,8,350,TS,Sh-Sh-Th-Th,6,,,,,,,,
399.7,8,350,TS,Sh-Sh-Sh-Th,7,,,,,,,,
399.4,8,350,TS,Sh-Sh-Sh-Ag,8,,,,,,,,
398.2,8,350,GEO_siltstone,0-0-0-0,0,,,,,,,,
397.9,8,350,,0-0-0-0,0,,,,,,,,
